RegionName	folder	description	ConstituentRegion	tacs_filename	morph_filename
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-01/ses-baseline/pet/sub-01_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-01/anat/sub-01_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-01/ses-blocked/pet/sub-01_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-01/anat/sub-01_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-02/ses-baseline/pet/sub-02_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-02/anat/sub-02_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-02/ses-blocked/pet/sub-02_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-02/anat/sub-02_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-03/ses-baseline/pet/sub-03_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-03/anat/sub-03_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-03/ses-blocked/pet/sub-03_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-03/anat/sub-03_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-04/ses-baseline/pet/sub-04_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-04/anat/sub-04_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-04/ses-blocked/pet/sub-04_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-04/anat/sub-04_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-05/ses-baseline/pet/sub-05_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-05/anat/sub-05_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-05/ses-blocked/pet/sub-05_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-05/anat/sub-05_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-06/ses-baseline/pet/sub-06_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-06/anat/sub-06_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-06/ses-blocked/pet/sub-06_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-06/anat/sub-06_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-07/ses-baseline/pet/sub-07_ses-baseline_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-07/anat/sub-07_desc-preproc_seg-gtm_morph.tsv
Frontal	petprep	seg-gtm_desc-preproc	ctx-lh-caudalmiddlefrontal	petprep/sub-07/ses-blocked/pet/sub-07_ses-blocked_desc-preproc_seg-gtm_tacs.tsv	petprep/sub-07/anat/sub-07_desc-preproc_seg-gtm_morph.tsv
