frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	139.48604	19.36289	20.24874	49.04158	25.87371	64.10993	63.625	32.19487	21.19405	33.72007	16.35681	66.64066	11.01492	45.74259	12.45221	67.99682	15.50813	34.17623	24.68418	46.11004	39.745	50.9757	152.50816	211.50512	59.59437	52.02067	58.65313	45.51652
30	60	4525.03756	4568.96287	4358.99131	3746.69491	2951.62716	4666.69532	4292.40932	3516.28474	3917.44203	3849.31545	2354.86581	4459.71414	3308.1201	4680.86406	3931.18288	4618.8963	3963.07963	3736.35063	3614.51516	2565.8123	3446.94059	3277.14411	3453.79692	3030.51347	3381.01668	5205.95871	5520.29313	3567.81995
60	90	12453.95474	11831.36392	12628.74784	11707.37047	12023.70709	12038.02136	12097.82128	11715.18601	10568.31568	12156.89219	8913.76485	13412.0707	11160.4271	13769.98727	11832.18628	13717.295	11790.63451	12115.76239	11163.60777	11012.53881	13617.18918	10304.03928	9277.05928	8628.78402	12671.22195	14212.3538	15237.85402	12173.23952
90	120	21560.83946	17861.18407	21151.60272	21266.03136	18472.01613	22530.71888	21692.84187	20080.31765	19508.17496	20115.9451	15601.65884	21503.69461	18483.60896	22113.53891	19966.62555	21808.1032	20265.90372	21221.77072	19641.50945	17853.04147	19764.84133	16621.92864	17070.89473	15468.47326	19097.89709	18964.70585	24067.4765	19421.49739
120	150	26886.14124	22631.16917	29803.51445	27280.40046	26844.47675	28230.24681	25554.21405	26688.533	26262.06133	26142.08294	23733.7504	29170.001	27453.13688	30001.98412	28989.60645	28561.73491	28704.81621	28092.71767	27199.64052	24582.42342	26640.63941	24937.91011	22909.28281	21626.77483	25679.89776	24516.80714	30851.47306	25298.76149
150	180	23195.05754	25334.0527	28771.91112	30105.74435	30600.18083	26972.75068	30457.7097	30033.96635	31922.66089	27583.56377	28897.60114	29449.69111	28314.26651	29382.79554	31338.61358	28426.00824	31268.77513	29342.62767	30934.17653	29080.97469	29185.62609	26983.43339	26194.6707	26561.97275	27504.54999	24797.24499	32501.18494	27581.24586
180	240	23932.02882	23156.592	28682.19943	29784.27712	27968.91484	29099.85101	28856.19135	29100.99738	30697.22266	26254.80081	26141.49667	28379.18448	27429.78378	28547.57184	30604.31896	27311.69682	30463.8754	28721.10979	29670.05883	28505.43946	28064.44826	28479.48197	24142.19492	25151.81994	26220.96566	21939.15398	27777.50559	28486.1225
240	300	24826.22258	22545.12366	27303.00962	27350.28884	25860.75366	27936.25284	27735.73436	27591.1367	27375.37755	25520.82249	23040.37621	27156.22202	24089.42618	28001.5366	27054.92615	27216.10303	27228.82024	27572.47197	26456.31332	29158.59444	26543.33428	26695.50431	24490.28125	24703.74767	25720.54501	21663.32138	26048.62305	26388.54504
300	360	25059.4166	21070.51196	26208.62251	27736.90954	24574.25804	29320.91306	27087.15223	28029.4832	28764.65086	25306.21873	23381.11522	23891.7259	23308.83459	27867.57667	27261.85215	27028.67738	27369.50318	27749.25798	26341.55837	27023.20234	27146.41145	25228.82332	24106.07969	23165.47535	24424.203	22419.25814	24326.18588	26994.9313
360	480	19500.36921	20303.31901	22553.45198	24276.45192	21108.58797	23082.22447	25769.60236	26638.74703	25375.76074	23450.83415	19946.18821	21743.42553	20121.00149	25052.2131	23327.63572	24380.2622	23734.13919	24961.55002	23258.12422	26324.49092	23851.49753	24255.09049	24678.92578	23007.20945	21990.8474	20360.57896	23214.14433	24644.68876
480	600	19170.0225	19775.83364	20282.48444	21662.27893	18229.96846	23104.11989	22470.53363	23365.56079	21757.8824	20786.60547	18167.8001	19056.839	18932.92262	20830.77581	20607.57887	20936.13995	20895.29879	21969.88244	20656.86504	23984.47681	21983.94988	23559.02945	22426.26797	21996.65578	21589.28759	20262.53339	20741.14413	22528.65165
