frame_start	frame_end	parasubiculum	HATA	fimbria	hippocampal_fissure	HP_tail	presubiculum-head	presubiculum-body	subiculum-head	subiculum-body	CA1-head	CA1-body	CA3-head	CA3-body	CA4-head	CA4-body	GC-ML-DG-head	GC-ML-DG-body	molecular_layer_HP-head	molecular_layer_HP-body	Lateral-nucleus	Basal-nucleus	Central-nucleus	Medial-nucleus	Cortical-nucleus	Accessory-Basal-nucleus	Corticoamygdaloid-transitio	Anterior-amygdaloid-area-AAA	Paralaminar-nucleus
0	30	111.19465	113.53235	74.38342	66.72824	22.12307	151.06109	108.84319	67.54167	86.07892	88.45367	38.74413	149.22132	49.65078	152.27257	60.71772	157.94024	65.82742	93.43916	68.24431	71.26472	72.87013	51.06155	57.99876	44.31034	70.7695	77.87544	300.15933	34.04027
30	60	3369.0932	3821.55727	4598.82015	3337.7439	3062.26006	3392.13385	4125.68854	2777.51712	3641.77525	2980.14687	2568.13803	4495.49904	3827.36891	4137.03709	4147.06928	3910.67879	4073.47123	3293.90242	3777.30464	2369.03649	2538.51349	3266.70748	3682.6795	3287.7378	2963.56656	3495.47127	4205.41926	2470.89458
60	90	13509.79735	13506.01145	12903.6203	11961.10645	12665.75022	12923.25324	13430.41977	11481.58284	10763.99091	11777.21182	9332.80981	13135.916	11193.91973	11813.30402	11652.53704	12174.5818	11658.82516	12332.5415	11209.18839	10790.81457	13321.95567	10994.23801	9976.16837	11386.21191	13588.21669	14608.17988	14505.47303	12017.03196
90	120	28132.1647	23839.45646	24788.98191	23342.58165	22214.8274	24994.26738	22859.09514	23373.35485	22879.51297	22438.61592	22080.28338	23657.17988	23783.27094	23729.40284	24068.85677	23396.30729	23848.40895	23372.52357	23064.07916	19064.35105	22544.97537	20597.15904	19254.94439	20763.06055	22769.28513	23021.47045	22081.73012	25441.42101
120	150	30271.93482	29254.84929	32972.27157	31705.192	32101.19736	32621.99205	31228.0541	31528.45664	30214.69795	31018.55611	29080.31001	34827.34303	31928.19209	34822.31884	31586.93504	34029.44564	31385.52224	32659.53375	31204.36902	29464.98882	32672.7882	26449.75508	25176.72277	26644.40941	31578.49098	31535.57161	32327.98007	31884.94133
150	180	35854.97863	29737.61467	37774.27129	36878.99084	35924.85857	35208.66541	35618.58926	36393.17899	36104.56697	34769.16307	32182.63633	34898.04052	36661.36196	35142.57217	38225.27385	33608.4422	37510.12377	36004.80482	36080.31136	34504.38482	38406.56361	33266.13074	29784.14637	31124.98651	35429.73585	32004.27237	33479.27429	39826.69361
180	240	33633.90329	29311.57699	37981.72959	36407.45548	35684.78226	34565.01267	33488.22518	36166.13175	34805.44026	35152.64899	32026.345	35915.28927	35689.83146	38421.63279	36768.88245	36999.07209	36319.17276	37160.30854	34772.17569	35184.33283	38120.479	32022.2643	31881.57571	32129.56408	34213.97546	31577.4027	35993.21429	36695.04387
240	300	32487.3829	29188.54428	36374.21857	35193.19541	34250.13322	34341.44073	34016.01465	35809.20005	35869.62393	33264.67423	31378.29984	35853.94261	34883.84255	38256.92347	36831.529	36173.23876	36580.41404	35734.8254	34906.28073	33760.99411	36039.58542	31311.10582	31217.49862	32377.51386	34456.7928	32719.15044	35658.49619	36877.83514
300	360	33280.63641	27422.72915	36917.17287	35528.28021	33122.37287	35242.47018	32850.58987	34570.99726	35574.05772	32526.30948	32433.80746	31930.53461	35361.31672	34663.844	37007.08278	33758.42524	36781.99245	34499.49214	35051.19054	34005.09231	34145.65492	32621.74719	33851.39074	31519.57822	32818.37314	29773.36124	35214.63356	34131.45548
360	480	28815.49833	24257.78437	31393.9941	31692.64785	30368.69813	29976.72848	29817.41588	32213.22959	32090.04452	30233.46706	28683.23859	27725.76569	30525.80859	30708.93232	32038.32659	29786.9212	31795.78379	31450.25228	30676.13816	29581.75992	32855.72034	28388.40359	29497.99943	28935.05673	30473.06946	27905.5637	31116.98623	33066.26754
480	600	26178.9966	22810.12095	27803.0195	27432.05987	26138.21359	26567.81705	26045.79291	28684.85575	27783.44122	26988.89931	25372.64824	24678.9246	26541.57059	26427.91165	27795.75233	25701.03057	27734.47204	27578.77975	26728.34941	28279.77868	29903.93022	25326.93012	25730.62075	26724.58808	27908.38359	26587.3916	28556.91466	30346.92546
600	900	21154.04102	18478.94446	22881.06654	22924.61525	21717.69358	22539.00095	22099.48792	23892.34691	22783.67718	22047.65288	20527.79307	19999.20367	21647.02649	22315.17848	22800.88975	21683.45963	22699.34224	22986.9715	21827.94869	23713.35316	24948.57549	22013.21246	22897.29917	22537.012	23295.47709	21649.55702	24720.9076	24617.45479
900	1200	17357.75904	15665.21966	17910.47973	17891.7464	16938.9496	17963.64215	16981.32065	18898.41779	17987.45321	17361.9585	16848.94317	16176.45819	17363.1338	17261.16444	17699.9431	17130.22931	17668.32578	17874.99709	17295.65841	19256.02446	18643.55064	18398.15965	20474.82881	19706.43573	18026.08919	16917.50318	19964.06335	18299.16417
1200	1500	14453.78075	13181.88871	14732.64873	14741.91599	14516.64598	14974.14565	14605.9513	15388.39875	14936.00419	14320.64422	14022.03195	13377.81982	14221.43276	14428.75797	14201.01274	14338.23037	14273.60626	14779.67144	14139.11154	15451.75601	14770.07009	15924.99648	18612.35576	17189.85189	14640.32719	14034.68108	16560.33531	14494.74313
1500	1800	12900.49701	11648.37718	12976.65361	12311.69856	11616.60624	13241.85349	12373.34167	13553.76279	12783.30179	12171.41845	11968.73032	11351.70401	12375.38644	11547.31322	12294.73441	11733.99724	12294.36192	12321.6276	12179.93736	13612.8148	12684.65359	13579.26762	15614.71237	15469.33008	12884.66286	12223.2034	13609.78806	11949.11712
1800	2100	10031.86812	10641.82004	11458.63425	10924.31371	11273.27447	10679.53781	10610.82837	11855.12705	11190.63301	10604.12121	11521.4788	10156.96288	11435.91593	10150.04167	10947.44571	10098.32671	10918.86268	10802.80527	10974.36687	11842.59916	10985.32516	12494.72811	13312.34685	13120.53278	11526.54804	10896.94714	12452.67445	9839.08346
2100	2400	9673.56143	10464.54526	9938.35036	9380.35511	9482.39576	9927.35413	9833.9654	9634.97373	10039.66692	9167.74282	10398.41812	8464.44892	9916.29858	8333.46843	9585.16635	8803.42977	9669.39499	9086.0375	9821.47264	10016.68817	9156.24926	12247.96143	12828.46421	13303.44857	10353.79175	9879.90508	11052.88762	8354.84055
2400	2700	7618.37265	8745.00106	9385.0363	8702.26986	8835.68494	8280.17438	8203.73756	9568.70159	10032.46342	8642.40445	9820.46952	8366.92693	9466.18178	8167.76144	9111.3268	8218.87214	9153.77163	8513.21348	9209.10916	8820.93466	8475.97931	10145.2017	10560.52516	9831.58915	8755.00418	8333.06786	8967.75781	7688.84383
2700	3000	7638.19248	7639.56562	8586.43736	7745.4078	8227.57728	8469.54741	8297.21488	8249.24751	8417.39679	7410.0921	8480.40353	8054.81779	8692.92446	7716.92327	8001.15816	7998.90124	8022.62522	7563.26091	8246.17048	8448.26006	7511.40393	8840.77676	9224.24314	8630.83931	7703.22033	7188.08055	7954.30966	6736.64233
3000	3300	7011.62699	8038.01274	8231.31926	6510.13435	7313.67232	6956.4147	6606.62852	7016.39286	7268.44766	6775.65159	7991.20375	7105.65097	8057.7112	6321.41055	7374.68691	6656.40669	7418.6891	6434.33413	7361.90989	7547.32156	7117.46224	8607.42206	9046.2585	8717.76832	7586.39076	7336.19953	7788.82222	6664.31166
3300	3600	6256.13915	6396.42353	7652.27493	6659.10787	6421.41793	6577.02241	6199.52273	7245.498	7000.94475	6881.75	7403.69803	6513.70373	7831.94077	6496.60887	7016.35586	6643.41179	6899.26267	6836.4543	6909.42678	7610.82672	6143.91836	7288.11607	8447.28346	8103.81257	6264.47447	5990.77108	7524.77302	6021.67934
3600	3900	6337.66911	5541.65664	7220.96592	5967.73235	6533.90211	7101.75602	6356.47748	6918.01259	6725.50489	5405.96956	6611.88099	6116.46157	6967.79869	5683.58073	6623.4806	5849.56655	6558.19312	5663.14792	6522.03134	6003.27471	5975.76197	6754.1276	6365.15016	6680.48907	5968.39042	5717.43174	6142.25053	6154.4617
3900	4200	5719.70758	7526.7564	6552.31301	5966.65276	5367.09598	5995.55448	5986.32447	6442.53547	6864.69204	5597.93136	7251.07194	5636.32266	6836.70186	5474.74581	6531.82288	5896.42957	6490.62981	5603.13246	6677.88729	5937.95368	5001.86309	6354.5636	6803.43647	7583.09512	6419.98346	6412.99212	5894.6569	4417.89752
4200	4500	5323.47807	4327.01743	5668.71824	5264.60139	4946.24743	5227.83154	5012.58142	5453.24933	5517.87767	5073.61803	6387.81213	5516.29057	6284.18997	5364.68448	5671.63444	5438.4952	5473.3278	5038.88907	5704.28695	5987.43024	4729.37429	5887.26042	5224.54081	5035.88624	4871.54548	5068.22294	5781.74777	4725.26811
4500	4800	5362.47545	5172.24085	4697.4054	4938.53998	4830.84297	5847.6253	5331.89048	5778.70393	5141.9496	5024.88239	5096.04625	5398.90764	4620.17501	5309.17174	4156.21028	5161.11469	4269.64288	5158.89504	4524.57603	4750.70152	4897.44828	5726.2744	5545.18914	5236.15272	4953.8058	4809.51165	6143.69931	4411.62015
4800	5100	3752.64962	6085.56801	4927.85074	4311.51578	5528.26901	4163.57243	5172.96054	4815.59542	5508.53913	4465.06696	5193.15264	4844.38213	4846.14808	4381.0313	4697.29148	4431.20666	4663.25532	4327.13902	4816.19485	4701.53428	4409.08312	6900.55329	6072.22251	6375.19269	5744.18513	5477.41643	5064.13691	3313.03945
